bc/samples_so_far,bc/ent_loss,bc/neglogp,bc/epoch,bc/entropy,bc/prob_true_act,bc/l2_loss,bc/loss,bc/batch,batch_size,bc/l2_norm
286724096,0.0070727914571762085,-7.032348565803151,70,-7.07279109954834,4156.111983937493,0.0,-7.025275774345975,70000,4096,48960.43359375
288772096,0.007062940392643213,-7.022558332878257,70,-7.0629401206970215,4073.3415000037544,0.0,-7.015495392485613,70500,4096,49006.96484375
290820096,0.0070318300276994705,-7.086604669768497,71,-7.031829833984375,4035.380742102883,0.0,-7.0795728397407975,71000,4096,49040.546875
292868096,0.00706036202609539,-7.008197859143472,71,-7.060361862182617,4004.567695073844,0.0,-7.0011374971173765,71500,4096,49090.4609375
294916096,0.007042888551950455,-6.90907841133159,72,-7.042888164520264,4083.7515859164287,0.0,-6.90203552277964,72000,4096,49130.62109375
296964096,0.007016755640506744,-7.093838901750406,72,-7.016755104064941,3942.8255565066247,0.0,-7.086822146109899,72500,4096,49178.2265625
299012096,0.007059566676616669,-7.13771300898836,73,-7.059566497802734,4201.0400112442585,0.0,-7.130653442311743,73000,4096,49234.48046875
301060096,0.007071647793054581,-7.043444879173866,73,-7.071647644042969,3960.9152407286924,0.0,-7.036373231380812,73500,4096,49284.796875
303108096,0.007039930671453476,-7.055448033441402,74,-7.03993034362793,3968.9879998080337,0.0,-7.048408102769948,74000,4096,49328.1640625
305156096,0.007025671191513538,-7.061680943880029,74,-7.025671005249023,3636.2753856584573,0.0,-7.054655272688516,74500,4096,49374.81640625
307204096,0.0070461309514939785,-7.068364555788476,75,-7.046130657196045,3971.725427791296,0.0,-7.061318424836982,75000,4096,49425.74609375
309252096,0.007059028837829828,-7.148364752609167,75,-7.059028625488281,4211.667980760251,0.0,-7.141305723771337,75500,4096,49476.25390625
311300096,0.007082839496433735,-7.09589568653894,76,-7.082839012145996,4274.340604135008,0.0,-7.088812847042506,76000,4096,49521.6171875
313348096,0.0070756771601736546,-7.126766734313231,76,-7.075676918029785,4094.9517372835016,0.0,-7.119691057153057,76500,4096,49566.14453125
315396096,0.007011629641056061,-6.933361827446508,77,-7.011629104614258,3646.3235231635435,0.0,-6.926350197805452,77000,4096,49611.625
317444096,0.007043011020869017,-6.992871450022316,77,-7.043010711669922,3882.770761438047,0.0,-6.985828439001447,77500,4096,49651.8515625
319492096,0.007107558660209179,-7.104332635506129,78,-7.107558250427246,4188.489432323966,0.0,-7.09722507684592,78000,4096,49693.47265625
321540096,0.007074924185872078,-7.1332362423841165,78,-7.074923992156982,4099.533261976201,0.0,-7.126161318198244,78500,4096,49727.734375
323588096,0.0070534683763980865,-7.050494479480379,79,-7.053468227386475,4043.045930104195,0.0,-7.043441011103981,79000,4096,49765.58984375
325636096,0.007056651636958122,-7.077181095840347,79,-7.0566511154174805,4165.23825333715,0.0,-7.070124444203389,79500,4096,49800.53125
327684096,0.007059390190988779,-7.1649284191453475,80,-7.059390068054199,4187.791985313675,0.0,-7.157869028954359,80000,4096,49837.48828125
329732096,0.007059826049953699,-7.0579670915819595,80,-7.059825897216797,4008.6026244620407,0.0,-7.050907265532006,80500,4096,49875.0625
331780096,0.007081789430230856,-7.076327492666591,81,-7.081789016723633,4186.850338326714,0.0,-7.06924570323636,81000,4096,49915.46484375
333828096,0.0070694126188755035,-7.14810776852044,81,-7.0694122314453125,4211.969818341157,0.0,-7.141038355901564,81500,4096,49953.6875
335876096,0.007101044990122318,-7.10548628137518,82,-7.101044654846191,4192.783268214204,0.0,-7.098385236385058,82000,4096,49996.52734375
337924096,0.007079791277647018,-7.017082087937399,82,-7.079791069030762,4102.5070182378,0.0,-7.010002296659752,82500,4096,50035.9296875
339972096,0.007035121787339449,-7.019832824923068,83,-7.035121440887451,4028.3690318907907,0.0,-7.012797703135728,83000,4096,50067.6640625
342020096,0.007108320947736502,-7.150463460116629,84,-7.108320713043213,4250.820400769959,0.0,-7.143355139168892,83500,4096,50097.75390625
344068096,0.0070710014551877975,-6.946207746027556,84,-7.071001052856445,3872.429731682042,0.0,-6.939136744572369,84000,4096,50126.609375
346116096,0.007088224869221449,-6.969074795170755,85,-7.088224411010742,4214.007677194901,0.0,-6.961986570301534,84500,4096,50153.046875
348164096,0.00708960322663188,-7.0733294118140915,85,-7.089602947235107,4188.239544284439,0.0,-7.06623980858746,85000,4096,50183.82421875
350212096,0.007101558148860931,-7.125254980443032,86,-7.101557731628418,4078.4204891400927,0.0,-7.118153422294171,85500,4096,50223.41015625
352260096,0.007094896398484707,-7.077111404845066,86,-7.094895839691162,4308.074442350018,0.0,-7.070016508446582,86000,4096,50265.05859375
354308096,0.00709300534799695,-7.085000198107121,87,-7.093005180358887,4297.781900818466,0.0,-7.077907192759124,86500,4096,50303.6875
356356096,0.007077736314386129,-7.1223696017048646,87,-7.077735900878906,4224.307874262162,0.0,-7.115291865390478,87000,4096,50334.8359375
358404096,0.007090286817401648,-7.07791734054288,88,-7.0902862548828125,4041.8378839159154,0.0,-7.070827053725479,87500,4096,50369.66015625
360452096,0.007086785510182381,-7.009911203484322,88,-7.086785316467285,4077.4036686509667,0.0,-7.002824417974139,88000,4096,50408.33203125
362500096,0.0070821852423250675,-7.089409860535461,89,-7.082184791564941,4006.2003620248925,0.0,-7.082327675293136,88500,4096,50441.89453125
364548096,0.0071024601347744465,-7.1267709184864145,89,-7.102459907531738,4331.407106041175,0.0,-7.11966845835164,89000,4096,50475.953125
366596096,0.007081896997988224,-7.165367724791009,90,-7.081896781921387,4275.398545184472,0.0,-7.158285827793021,89500,4096,50507.15625
368644096,0.007105825934559107,-7.028280711215329,90,-7.105825424194336,4149.022504879033,0.0,-7.02117488528077,90000,4096,50542.3203125
370692096,0.007097041234374046,-7.107402743570464,91,-7.097041130065918,4230.979291038037,0.0,-7.10030570233609,90500,4096,50571.30859375
372740096,0.007092176005244255,-7.084248199637615,91,-7.092175483703613,4254.617359720727,0.0,-7.077156023632371,91000,4096,50605.2734375
374788096,0.007093648426234722,-7.112217877248651,92,-7.0936479568481445,4262.661948081179,0.0,-7.105124228822416,91500,4096,50641.57421875
376836096,0.007112175226211548,-7.123376422759279,92,-7.112174987792969,4196.71621304343,0.0,-7.116264247533067,92000,4096,50670.921875
378884096,0.007097703870385885,-7.096496293567278,93,-7.097703456878662,3994.726342979978,0.0,-7.089398589696892,92500,4096,50704.75
380932096,0.007120165042579174,-7.211474695408164,93,-7.12016487121582,4228.717176579353,0.0,-7.204354530365585,93000,4096,50731.84765625
382980096,0.007065982092171907,-7.0466171568357145,94,-7.065981864929199,4142.1190396682905,0.0,-7.039551174743543,93500,4096,50760.28125
385028096,0.0070912279188632965,-7.115542043026951,94,-7.0912275314331055,4167.635318755869,0.0,-7.108450815108088,94000,4096,50787.3203125
387076096,0.0070700570940971375,-7.158419389443203,95,-7.070056915283203,4080.4308707063715,0.0,-7.151349332349106,94500,4096,50812.46875
389124096,0.007113009691238403,-7.181098814541993,95,-7.113009452819824,4301.22142781686,0.0,-7.173985804850755,95000,4096,50844.0234375
391172096,0.007106911391019821,-7.20071374930246,96,-7.1069111824035645,4164.426114296095,0.0,-7.193606837911441,95500,4096,50867.984375
393220096,0.007087408099323511,-7.103287900556211,96,-7.08740758895874,4189.965953598234,0.0,-7.096200492456887,96000,4096,50893.7578125
395268096,0.007090115454047918,-7.171273109791176,97,-7.090115070343018,4124.570176355436,0.0,-7.1641829943371285,96500,4096,50923.4765625
