time/fps,time/time_elapsed,time/episodes,rollout/success_rate,time/total_timesteps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
385,235,348,0.01,90848,0.042815737426280975,0.0002972748,-9.911060333251953,10843,0.89960777759552,-9.519984245300293,,,
385,238,352,0.01,92032,0.041226767003536224,0.00029723928,-12.105143547058105,10991,1.6880826950073242,-8.825776100158691,,,
386,241,356,0.01,93304,0.03953276947140694,0.00029720112,-12.007431030273438,11150,1.0083427429199219,-8.662994384765625,,,
386,243,360,0.01,94136,0.038495272397994995,0.00029717615999999997,-5.3211259841918945,11254,0.6452580690383911,-8.259937286376953,,,
386,245,364,0.01,95040,0.03737107291817665,0.00029714903999999997,-12.783435821533203,11367,93.13517761230469,-8.561641693115234,,,
386,248,368,0.01,96096,0.03602345287799835,0.00029711736,-9.087369918823242,11499,0.38368940353393555,-8.23530387878418,,,
386,251,372,0.01,97328,0.034539323300123215,0.0002970804,-11.504657745361328,11653,0.5424827337265015,-8.158103942871094,,,
,,,,98304,0.03339753299951553,0.00029705111999999995,-12.915785789489746,11775,0.7035195827484131,-7.815589427947998,-245.54174111526027,202.3125,0.0
382,257,376,0.01,98576,0.033043403178453445,0.00029704296,-12.4495210647583,11809,0.6287294626235962,-7.512510299682617,,,
383,262,380,0.01,100520,0.030840732157230377,0.00029698463999999996,-12.324501991271973,12052,0.5665076375007629,-7.363105773925781,,,
383,265,384,0.01,101768,0.02944098599255085,0.0002969472,-12.037328720092773,12208,0.9965721368789673,-7.5267462730407715,,,
384,266,388,0.01,102384,0.02881324663758278,0.00029692872,-11.228294372558594,12285,0.46928659081459045,-6.797245025634766,,,
384,268,392,0.01,103088,0.02816501446068287,0.0002969076,-14.139165878295898,12373,1.4106571674346924,-6.748671531677246,,,
384,269,396,0.01,103872,0.02736002206802368,0.00029688408,-11.128995895385742,12471,0.4450101852416992,-7.174118518829346,,,
385,273,400,0.01,105408,0.025864051654934883,0.00029683799999999995,-9.854817390441895,12663,1.141202688217163,-6.170788764953613,,,
,,,,106496,0.024987027049064636,0.00029680535999999995,-10.579036712646484,12799,0.3104698956012726,-6.1831560134887695,-218.21886310539654,241.8125,0.0
381,280,404,0.01,106992,0.024581750854849815,0.00029679048,-11.412984848022461,12861,0.45535168051719666,-6.123319625854492,,,
382,282,408,0.01,107936,0.023767104372382164,0.00029676215999999996,-10.69709587097168,12979,1.6957247257232666,-5.442712306976318,,,
382,283,412,0.01,108600,0.023303285241127014,0.00029674224,-8.487520217895508,13062,28.83795928955078,-6.492452621459961,,,
382,286,416,0.01,109704,0.022639567032456398,0.00029670912,-10.564542770385742,13200,1.4913907051086426,-6.508892059326172,,,
383,289,420,0.01,111064,0.021689418703317642,0.00029666831999999995,-11.20277214050293,13370,0.14081159234046936,-5.986191749572754,,,
383,291,424,0.01,111976,0.021010713651776314,0.00029664096,-11.186246871948242,13484,0.9449048042297363,-5.729623794555664,,,
384,295,428,0.01,113480,0.020052039995789528,0.00029659584,-5.9020280838012695,13672,0.4321315884590149,-5.093751907348633,,,
,,,,114688,0.019370272755622864,0.00029655959999999994,-10.240903854370117,13823,91.81387329101562,-5.035627365112305,-231.45206436094531,196.0625,0.0
380,302,432,0.0,114984,0.019194455817341805,0.00029655071999999997,-7.3129072189331055,13860,0.27964460849761963,-4.778433799743652,,,
380,306,436,0.0,116664,0.018335111439228058,0.00029650031999999997,-9.45675277709961,14070,1.463350534439087,-5.082564353942871,,,
380,308,440,0.0,117280,0.018048465251922607,0.00029648184,-10.563803672790527,14147,0.5468388795852661,-5.050817489624023,,,
380,311,444,0.0,118568,0.01730773039162159,0.0002964432,-8.04461669921875,14308,10.273359298706055,-4.736124515533447,,,
381,314,448,0.0,119808,0.016705915331840515,0.000296406,-9.34362506866455,14463,0.24947252869606018,-4.03623104095459,,,
381,316,452,0.0,120784,0.016245175153017044,0.00029637672,-8.164621353149414,14585,26.299732208251953,-4.47623348236084,,,
382,318,456,0.0,121552,0.015877461060881615,0.00029635367999999995,-7.849681377410889,14681,0.7922931909561157,-3.883258104324341,,,
382,321,460,0.0,122808,0.015267618000507355,0.000296316,-10.289434432983398,14838,0.29023635387420654,-3.9968910217285156,,,
,,,,122880,0.015230216085910797,0.00029631384,-10.53724193572998,14847,0.5175387859344482,-4.611817359924316,-219.29200229867266,114.375,0.0
380,325,464,0.0,123856,0.014838122762739658,0.00029628456,-3.89357590675354,14969,0.693766713142395,-4.231828689575195,,,
381,326,468,0.0,124616,0.014667792245745659,0.00029626176,-4.782299995422363,15064,0.5983361005783081,-4.030369758605957,,,
381,329,472,0.0,125672,0.01430197898298502,0.00029623008,-5.4115753173828125,15196,0.28700894117355347,-3.750230550765991,,,
381,330,476,0.0,126008,0.014232153072953224,0.00029622,-6.60959529876709,15238,0.7469770908355713,-3.3012828826904297,,,
382,334,480,0.0,127680,0.01350793894380331,0.00029616984,-14.422222137451172,15447,0.36515897512435913,-3.434523105621338,,,
382,335,484,0.0,128088,0.013274113647639751,0.00029615759999999995,-11.441160202026367,15498,0.6003239154815674,-3.049274206161499,,,
382,338,488,0.0,129368,0.012606018222868443,0.0002961192,-7.885786533355713,15658,0.8018765449523926,-3.103628158569336,,,
