time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/kl_coef,train/clip_fraction,train/loss,train/value_loss,train/std,train/kl_loss_with_bc_model,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
102891520,,,,0.06203453,0.1023775744,0.44611358642578125,12.62934684753418,36.323194766044615,0.014476662501692772,0.3022007346153259,0.000145859328,9.610644072294235,0.2,0.9114258214831352,-0.059746795560931786,5830,210.51041666666666,0.6041666666666666,-109.12268285284746
102891520,785,28231,3644,,,,,,,,,,,,,,,,
103022592,,,,0.06002044,0.10225305600000001,0.4376739501953125,14.204819679260254,37.02621781826019,0.01447590347379446,0.3149406909942627,0.00014566272,9.63380570411682,0.2,0.9018647521734238,-0.057184517524729014,5835,204.32291666666666,0.6875,-99.34022682345028
103022592,786,28266,3644,,,,,,,,,,,,,,,,
103153664,,,,0.053422593,0.1021285376,0.41813507080078127,12.99808406829834,34.71617546081543,0.014462500810623169,0.31676748394966125,0.000145466112,9.572636151313782,0.2,0.9119878932833672,-0.0574721094337292,5840,207.73958333333334,0.625,-106.41462323906855
103153664,787,28301,3644,,,,,,,,,,,,,,,,
103284736,,,,0.056602024,0.1020040192,0.425640869140625,12.935072898864746,36.03967926502228,0.014448228292167187,0.30743861198425293,0.000145269504,9.615613913536071,0.2,0.9192374125123024,-0.05760897644213401,5845,186.46875,0.7395833333333334,-92.52472736226987
103284736,788,28336,3644,,,,,,,,,,,,,,,,
103415808,,,,0.05812154,0.10187950079999998,0.4297393798828125,11.397130012512207,34.48085840940475,0.014439898543059826,0.31898510456085205,0.00014507289599999997,9.686838239431381,0.2,0.915688194334507,-0.05793623008794384,5850,209.94791666666666,0.6145833333333334,-113.67611696916133
103415808,789,28373,3644,,,,,,,,,,,,,,,,
103546880,,,,0.055766243,0.10175498239999999,0.41529388427734376,14.858750343322754,40.997829139232635,0.014437785372138023,0.3067682683467865,0.00014487628799999996,9.599739545583725,0.2,0.9012704938650131,-0.057275359009508975,5855,210.05208333333334,0.65625,-106.85924836270158
103546880,790,28410,3644,,,,,,,,,,,,,,,,
103677952,,,,0.056980222,0.10163046399999999,0.425775146484375,13.708427429199219,38.64369500875473,0.014441604726016521,0.31757158041000366,0.00014467967999999998,9.679761934280396,0.2,0.8987270519137383,-0.057438717305194585,5860,202.86458333333334,0.65625,-102.30806422856695
103677952,791,28445,3644,,,,,,,,,,,,,,,,
103809024,,,,0.055069115,0.1015059456,0.4300323486328125,12.10666561126709,32.16513992547989,0.014436319470405579,0.2973734736442566,0.00014448307199999998,9.598542141914368,0.2,0.9165754243731499,-0.059131962512037714,5865,201.86458333333334,0.6979166666666666,-101.37172739005473
103809024,792,28482,3644,,,,,,,,,,,,,,,,
103940096,,,,0.058805883,0.10138142719999998,0.42808990478515624,11.428916931152344,35.62203141450882,0.01443655788898468,0.30896857380867004,0.00014428646399999997,9.6027101457119,0.2,0.9093184247612953,-0.0579313030699268,5870,198.08333333333334,0.7083333333333334,-95.01560926665611
103940096,793,28519,3644,,,,,,,,,,,,,,,,
104071168,,,,0.052737057,0.10125690879999999,0.42902984619140627,14.548676490783691,38.73845152854919,0.014430704526603222,0.3112700581550598,0.000144089856,9.692878925800324,0.2,0.900945171713829,-0.054857097934291235,5875,194.0,0.6770833333333334,-99.06177815119007
104071168,794,28555,3644,,,,,,,,,,,,,,,,
104202240,,,,0.049283586,0.1011323904,0.41153411865234374,13.181407928466797,39.110749983787535,0.014429713599383831,0.32766538858413696,0.00014389324799999998,9.621103543043137,0.2,0.9090302214026451,-0.05818008430360351,5880,202.72916666666666,0.6458333333333334,-102.41023142607054
104202240,795,28590,3644,,,,,,,,,,,,,,,,
104333312,,,,0.051535826,0.101007872,0.4127166748046875,14.087019920349121,39.75503796339035,0.014422565698623657,0.30624842643737793,0.00014369663999999998,9.598327314853668,0.2,0.9068140313029289,-0.05706441112561152,5885,231.64583333333334,0.5104166666666666,-125.91795989536502
104333312,796,28626,3644,,,,,,,,,,,,,,,,
104464384,,,,0.05555226,0.10088335359999999,0.42903289794921873,13.850726127624512,35.40282131433487,0.014423057436943054,0.3139210343360901,0.000143500032,9.62990739941597,0.2,0.9138839468359947,-0.058098220368265174,5890,202.80208333333334,0.6770833333333334,-104.47181322102476
104464384,797,28663,3644,,,,,,,,,,,,,,,,
104595456,,,,0.054078516,0.1007588352,0.43250274658203125,14.034692764282227,38.77808864116669,0.014417698606848717,0.3228945732116699,0.000143303424,9.614640730619431,0.2,0.9088633432984352,-0.05928966931533068,5895,197.21875,0.6770833333333334,-98.77277068290032
104595456,798,28698,3644,,,,,,,,,,,,,,,,
104726528,,,,0.056874707,0.1006343168,0.41940155029296877,15.13685131072998,38.755335652828215,0.014413630589842796,0.33272871375083923,0.000143106816,9.538946497440339,0.2,0.8982650339603424,-0.05705716127558844,5900,239.41666666666666,0.53125,-120.71311455875542
104726528,799,28734,3644,,,,,,,,,,,,,,,,
104857600,,,,0.059221234,0.1005097984,0.40211944580078124,11.898330688476562,35.37897716760635,0.014400927349925041,0.31492143869400024,0.00014291020799999998,9.630514007806777,0.2,0.9065423086285591,-0.0561676712197368,5905,203.79166666666666,0.6770833333333334,-101.10621209873109
104857600,800,28770,3644,,,,,,,,,,,,,,,,
104988672,,,,0.0578557,0.10038528000000001,0.45056610107421874,12.780585289001465,34.26275087594986,0.014397784136235714,0.3126707077026367,0.0001427136,9.647990149259567,0.2,0.9044656306505203,-0.059794739114295226,5910,197.03125,0.6666666666666666,-105.39250831553933
104988672,801,28807,3644,,,,,,,,,,,,,,,,
105119744,,,,0.055975985,0.1002607616,0.42922821044921877,15.879481315612793,38.2984719991684,0.014392180368304253,0.3194257915019989,0.000142516992,9.612070202827454,0.2,0.9038974493741989,-0.058042200857016724,5915,226.38541666666666,0.59375,-113.14297144540348
105119744,802,28844,3644,,,,,,,,,,,,,,,,
105250816,,,,0.060500912,0.1001362432,0.43191375732421877,12.824928283691406,34.385966944694516,0.01437618862837553,0.32355278730392456,0.000142320384,9.530359548330306,0.2,0.9136791378259659,-0.0594524981934228,5920,212.26041666666666,0.6354166666666666,-110.14576633432567
105250816,803,28880,3644,,,,,,,,,,,,,,,,
105381888,,,,0.058816575,0.10001172480000001,0.44149169921875,14.595044136047363,41.30008126497269,0.014378070831298828,0.32697153091430664,0.000142123776,9.606407481431962,0.2,0.9007081836462021,-0.05934876842657104,5925,206.85416666666666,0.65625,-105.08089477104629
105381888,804,28915,3644,,,,,,,,,,,,,,,,
105512960,,,,0.053446688,0.09988720640000001,0.4474456787109375,13.519842147827148,37.24620348215103,0.0143820121884346,0.3087339699268341,0.000141927168,9.568260622024535,0.2,0.9032857716083527,-0.060484373242070434,5930,205.86458333333334,0.6354166666666666,-105.43288039148617
105512960,805,28950,3644,,,,,,,,,,,,,,,,
105644032,,,,0.05668212,0.099762688,0.4323211669921875,17.399463653564453,43.37300134897232,0.014376744627952576,0.31897252798080444,0.00014173056,9.610516548156738,0.2,0.8829070329666138,-0.0579501767482725,5935,210.0,0.6354166666666666,-105.34227147743509
105644032,806,28984,3644,,,,,,,,,,,,,,,,
105775104,,,,0.056399997,0.09963816959999999,0.4082305908203125,14.733587265014648,39.356710982322696,0.014364086091518402,0.30897998809814453,0.00014153395199999997,9.491876071691513,0.2,0.8930607512593269,-0.05815124562650453,5940,204.22916666666666,0.6875,-94.57717104958078
105775104,807,29020,3644,,,,,,,,,,,,,,,,
105906176,,,,0.05965477,0.09951365119999998,0.42995147705078124,13.548057556152344,37.3838307261467,0.014355581253767014,0.320343554019928,0.00014133734399999999,9.630140179395676,0.2,0.8948895782232285,-0.05969314766407478,5945,192.66666666666666,0.6875,-100.53408149766271
105906176,808,29055,3644,,,,,,,,,,,,,,,,
106037248,,,,0.053637456,0.09938913279999999,0.4309814453125,12.803958892822266,37.03068979978561,0.014347396790981293,0.3108418583869934,0.00014114073599999998,9.636710047721863,0.2,0.9046342074871063,-0.059487600813736205,5950,200.64583333333334,0.6666666666666666,-104.0182608915686
106037248,809,29092,3644,,,,,,,,,,,,,,,,
106168320,,,,0.060567096,0.09926461439999999,0.437237548828125,14.15307903289795,37.623677659034726,0.014331117272377014,0.3133925199508667,0.00014094412799999997,9.593512016534806,0.2,0.895473025739193,-0.06047882657730952,5955,187.70833333333334,0.6770833333333334,-98.34071370581398
106168320,810,29127,3644,,,,,,,,,,,,,,,,
106299392,,,,0.06862863,0.099140096,0.4440765380859375,15.479153633117676,41.07297306060791,0.014328735880553722,0.32149916887283325,0.00014074751999999997,9.562069302797317,0.2,0.8943676501512527,-0.05969679461850319,5960,215.54166666666666,0.6041666666666666,-109.19093291503013
106299392,811,29163,3645,,,,,,,,,,,,,,,,
106430464,,,,0.05857768,0.09901557759999999,0.446435546875,12.927775382995605,36.59108301401138,0.01432129554450512,0.31119945645332336,0.000140550912,9.625554871559142,0.2,0.89753058552742,-0.060147911547392144,5965,219.5,0.6041666666666666,-111.46316838843313
106430464,812,29200,3644,,,,,,,,,,,,,,,,
106561536,,,,0.05054631,0.09889105919999999,0.41274871826171877,13.668516159057617,40.01343402862549,0.01431579701602459,0.3253937363624573,0.00014035430399999998,9.550117003917695,0.2,0.9016166999936104,-0.05773362987965811,5970,202.70833333333334,0.65625,-103.84175653776947
106561536,813,29236,3644,,,,,,,,,,,,,,,,
106692608,,,,0.05134827,0.0987665408,0.39642486572265623,16.84612274169922,45.68300248384476,0.01431198325008154,0.3130407929420471,0.00014015769599999998,9.581948691606522,0.2,0.8916498646140099,-0.05825604120473145,5975,205.84375,0.6458333333333334,-105.20334849701055
106692608,814,29273,3644,,,,,,,,,,,,,,,,
106823680,,,,0.04922435,0.0986420224,0.39796295166015627,14.131792068481445,37.21222025156021,0.014302968978881836,0.307451456785202,0.000139961088,9.499577015638351,0.2,0.9054037928581238,-0.05721240260390914,5980,216.0625,0.59375,-106.51631905300708
106823680,815,29310,3644,,,,,,,,,,,,,,,,
106954752,,,,0.05965654,0.09851750399999999,0.44207000732421875,13.586430549621582,35.36708967685699,0.014314696192741394,0.3387882113456726,0.00013976448,9.560308134555816,0.2,0.9144385978579521,-0.05854288330301642,5985,197.07291666666666,0.6458333333333334,-102.15449478527252
106954752,816,29347,3644,,,,,,,,,,,,,,,,
107085824,,,,0.05146988,0.0983929856,0.4225494384765625,12.670660018920898,36.06830768585205,0.014310471713542938,0.31953883171081543,0.00013956787199999999,9.615813452005387,0.2,0.8999688178300858,-0.056979553619748914,5990,209.07291666666666,0.6875,-97.74014467799604
107085824,817,29382,3644,,,,,,,,,,,,,,,,
107216896,,,,0.052826315,0.0982684672,0.42706298828125,13.637117385864258,36.46837120056152,0.014305664226412773,0.3201315999031067,0.000139371264,9.614847576618194,0.2,0.9017583653330803,-0.05758181515557226,5995,205.08333333333334,0.6666666666666666,-102.35221356500146
107216896,818,29417,3644,,,,,,,,,,,,,,,,
107347968,,,,0.05097068,0.0981439488,0.4112091064453125,14.211024284362793,42.10681788921356,0.014308992773294449,0.32464152574539185,0.000139174656,9.64199526309967,0.2,0.894429549574852,-0.0594232981937239,6000,205.55208333333334,0.5833333333333334,-111.27388281072255
107347968,819,29453,3644,,,,,,,,,,,,,,,,
107479040,,,,0.057832837,0.0980194304,0.4184417724609375,12.472402572631836,34.824756908416745,0.014305474236607552,0.3310404419898987,0.000138978048,9.652136409282685,0.2,0.9124305248260498,-0.06008943489650846,6005,208.58333333333334,0.6145833333333334,-110.700999039281
107479040,820,29489,3644,,,,,,,,,,,,,,,,
